timestamp,open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2022/8/4,94.9,99.6,93.4,96.4,183341.685,183341.685
2022/8/3,93.4,101.1,91.6,94.9,218641.129,218641.129
2022/8/2,96.6,99.5,88.4,93.5,271427.265,271427.265
2022/8/1,97.6,100.5,94.1,96.6,201425.733,201425.733
2022/7/31,95.3,109.6,93.7,97.6,454838.13,454838.13
2022/7/30,95.6,100.9,93.5,95.2,206510.949,206510.949
2022/7/29,100.5,102.3,93.7,95.5,249010.618,249010.618
2022/7/28,94.7,103.6,89.6,100.5,454306.032,454306.032
2022/7/27,81.2,95.7,79,94.7,275165.445,275165.445
2022/7/26,81.4,82.8,76.5,81.1,153279.373,153279.373
2022/7/25,90.5,91.3,81.2,81.3,213513.332,213513.332
2022/7/24,89.3,93.5,88.1,90.6,127914.547,127914.547
2022/7/23,89.5,93.1,85.3,89.4,152124.697,152124.697
2022/7/22,95.3,96.5,88.3,89.6,188952.178,188952.178
2022/7/21,90.8,97.7,87.9,95.4,242158.49,242158.49
2022/7/20,95.7,101,89.4,90.8,326968.576,326968.576
2022/7/19,96.2,102.5,92.1,95.7,458791.144,458791.144
2022/7/18,88.3,99.5,87.7,96.2,426128.975,426128.975
2022/7/17,92.9,93.7,86.3,88.2,257556.657,257556.657
2022/7/16,90.5,96,87.3,92.9,395399.281,395399.281
2022/7/15,91.3,95.6,86.8,90.4,458615.597,458615.597
2022/7/14,79.8,92.8,77.4,91.3,553650.774,553650.774
2022/7/13,68.4,81,67.3,79.7,553312.115,553312.115
2022/7/12,69.9,71.9,65.7,68.4,299986.062,299986.062
2022/7/11,77.8,78.2,69.4,69.9,295944.784,295944.784
2022/7/10,81.9,82.3,74.7,77.8,516647.027,516647.027
2022/7/9,71.6,83.2,71.1,81.9,388706.555,388706.555
2022/7/8,71.2,75.8,67.8,71.6,435815.999,435815.999
2022/7/7,62.9,72.5,62.1,71.2,392109.667,392109.667
2022/7/6,60.6,64,59.7,63,238577.722,238577.722
2022/7/5,63.1,64.4,57.9,60.7,242432.29,242432.29
2022/7/4,57.7,63.4,56.1,63.1,222520.27,222520.27
2022/7/3,57.9,58.6,54.7,57.7,137330.878,137330.878
2022/7/2,56.4,58.5,54.8,57.9,172300.429,172300.429
2022/7/1,57,59.3,54.8,56.4,266182.852,266182.852
2022/6/30,60,60.3,53,57,294692.452,294692.452
2022/6/29,60.2,62.3,57.9,59.9,237392.189,237392.189
