,positive,daily return_past_ma30
156,0,-0.009202487848182068
157,0,-0.008664785244598483
158,0,-0.013748270696058629
159,1,-0.012889974935039135
160,0,-0.011053345569476921
161,1,-0.013414214769240677
162,0,-0.014403843959501943
163,1,-0.015612467380335318
164,1,-0.014438185320109764
165,1,-0.012847320904167951
166,1,-0.014481224996794695
167,1,-0.009562501917791488
168,1,-0.00477545510328955
169,1,-0.0025675818089242277
170,0,-0.005904429463115058
171,0,-0.006871379063587657
172,1,-0.009936146357529837
173,0,-0.009670621124819626
174,0,-0.010472992034032997
175,0,-0.016330258849449598
176,1,-0.01927705744925349
177,0,-0.011263119193379748
178,1,-0.013503961329692272
179,0,-0.006717657934702155
180,0,-0.009301768594034043
181,1,-0.006247537322586083
182,1,0.004265942204494111
183,1,0.006806640797824289
184,1,0.007788922418990485
185,1,0.008942334369317606
186,1,0.013342989134935878
187,1,0.01449639367560993
188,0,0.020584421857904725
189,1,0.021078082634584373
190,1,0.020788733632769583
191,1,0.02364134852975849
192,0,0.024773079972945755
193,1,0.024254010840038823
194,1,0.025969015210114146
195,0,0.02560171816620529
196,1,0.019272363639116323
197,0,0.01627735531964877
198,1,0.015195330886839001
199,1,0.016007707653414242
200,1,0.01589455348085413
201,0,0.018772152079300837
202,0,0.019479671484811636
203,0,0.01531085595813892
204,0,0.016728641873319305
205,1,0.020385477006058052
206,0,0.023749398899351924
207,1,0.014912692173650896
208,0,0.019732172602887413
209,1,0.01071114163518816
210,0,0.01622124053026917
211,0,0.015447734172095865
212,0,0.008045547136032298
213,1,0.0025920362088371527
214,1,0.00017709833796089036
215,0,0.006438762599625147
216,1,0.004360757019773935
217,1,0.01232274308109785
218,1,0.011715180639105831
219,1,0.014028155848471708
220,1,0.01372209103649556
221,0,0.017988946293449826
222,1,0.012896324647813762
223,1,0.015011292768319976
224,0,0.013473347447437556
225,1,0.011189106659280471
226,1,0.020920868024345285
227,1,0.022785669889147146
228,0,0.024329263657698438
229,1,0.019168219898079857
230,0,0.021104761653521226
231,1,0.019142225166444142
232,1,0.022827145429108305
233,0,0.025245515774699297
234,1,0.025634391213811152
235,0,0.028434769468337603
236,0,0.02727063010504182
237,0,0.028315310272190645
238,1,0.023506757002098918
239,1,0.027778278507732998
240,0,0.025197152669235244
241,1,0.026393543620317282
242,0,0.029229947661453294
243,0,0.02886780774375782
244,1,0.025156101654397623
245,1,0.019892284778413444
246,0,0.02336884887909734
247,1,0.01418715276386648
248,0,0.01596257762922702
249,1,0.012575972101787625
250,1,0.017028546365495927
251,1,0.015310710716384797
252,0,0.019870646729119
253,1,0.01846615196477963
254,0,0.0188444647868727
255,1,0.014689711885290675
256,0,0.013767349179025312
257,0,0.011827875868584263
258,1,0.003134005979033431
259,0,0.005490748097141066
260,0,0.002048538044373512
261,1,0.00233792826921619
262,0,0.0021056354183888516
263,0,-0.0009665481855469375
264,1,-0.001025964148015468
265,0,-0.0032067285645870913
266,1,-0.0029154359591758603
267,1,0.0006394607074669286
268,0,0.0017080375276585533
269,0,-0.00036864894641453296
270,0,-0.004023090401988046
271,0,-0.007875763798970918
272,0,-0.010107505297728114
273,1,-0.008323682333349595
274,0,-0.005592529959208436
275,1,-0.010552478981408764
276,1,-0.011416306200398175
277,0,-0.008814787659282319
278,0,-0.013799125073206468
279,0,-0.013318013788565593
280,1,-0.01852167021766044
281,0,-0.018814191682115976
282,1,-0.019635786738376716
283,1,-0.01740700401039914
284,1,-0.016342626836404157
285,1,-0.009876638565521671
286,0,-0.01188644871417673
287,1,-0.015058233601413633
288,1,-0.005559469015182846
289,0,-0.005149958201844862
290,1,-0.0073765018353891855
291,1,-0.005790259979869491
292,0,-0.00591375844721862
293,1,-0.005023920334866072
294,1,-0.002028712242457361
295,0,-0.0001633863213760467
296,1,-4.1416926760828864e-05
297,1,0.000671990539696865
298,1,0.0038696988002699644
299,0,0.005138969044978947
300,0,0.005948668016004651
301,1,0.00995893377736734
302,1,0.011875633986287663
303,1,0.012882074540142008
304,1,0.013932235883976607
305,0,0.017378811406339036
306,0,0.015908579176371763
307,0,0.013233321613719167
308,0,0.013226493117428647
309,1,0.013139784992649839
310,0,0.013288660748876864
311,0,0.008274368840501256
312,1,0.007989221073529295
313,0,0.009188323903066908
314,0,0.005951492927078942
315,1,0.002775783136990066
316,0,0.00333595839132866
317,0,0.0055001636419536705
318,1,0.0032269882001362197
319,1,0.0029806869408503115
320,1,0.007555778381514807
321,1,0.006327245917284404
322,0,0.006570411132056083
323,1,0.005659904806739069
324,1,0.00879566260193341
325,1,0.012053459872888576
326,1,0.014195585477819213
327,0,0.015997829127297213
328,1,0.011353293937049761
329,0,0.0133598613335326
330,0,0.014964309130587886
331,0,0.013537318287562612
332,1,0.010457129688713521
333,0,0.011676025735195772
334,0,0.00847850018964272
335,1,0.00398989619418519
336,1,0.0063176469489952146
337,0,0.007089416394099376
338,1,0.008569436697689255
339,1,0.011436270621140466
340,1,0.012718648609825526
341,1,0.018631747049875046
342,0,0.021020466123383076
343,1,0.018027708252880695
344,0,0.019428388572137526
345,1,0.019684430328179285
346,0,0.01971116350331782
347,1,0.017432176635289853
348,1,0.02075233140764252
349,0,0.02356230662797344
350,0,0.021191225649383923
351,1,0.020527183533252318
352,0,0.020084488054245078
353,0,0.019607578923489796
354,0,0.008684706211780642
355,0,1.8313299178988423e-05
356,1,-0.0028428221534577023
357,1,-0.005939706117340212
358,0,-0.0033256648849959826
359,0,-0.006665796452616705
360,0,-0.008433598259079685
361,0,-0.006654949556284932
362,0,-0.005136845022266342
363,1,-0.008017975691007621
364,1,-0.003609982845973451
365,0,-0.0012935598987734442
366,1,-0.005508017578561245
367,1,-0.003996262913374138
368,0,0.001134728910616282
369,0,-0.0030336388794653204
370,1,-0.004846555345389063
371,1,-0.006737865798709874
372,1,-0.006785924182054563
373,1,-0.00280136371718549
374,1,-0.00011746801590080125
375,1,0.0022639233877627674
376,0,0.00189325062426412
377,0,0.004345515713875721
378,0,0.0005502942171585201
379,0,-0.0035173538371104708
380,1,-0.0023665009662060753
381,0,0.0024823180991578836
382,1,0.0005204841445312487
383,0,0.005449148009679879
384,1,0.010162158151850006
385,1,0.013815952176109585
386,1,0.01565802421048932
387,0,0.01584250205628365
388,1,0.012077796848490096
389,0,0.01587265599705199
390,1,0.017465894604075424
391,1,0.020530370928420628
392,0,0.022666355186764155
393,0,0.023817818083311484
394,1,0.019776582628010235
395,1,0.019910685357365527
396,1,0.022599152939400607
397,0,0.02319041091080622
398,0,0.017707860168326664
399,0,0.01919703219566907
400,1,0.019430095040292413
401,1,0.019025099351968854
402,0,0.01773019029579245
403,0,0.013221437830309216
404,0,0.01035833340139259
